Domain,Subdomain,Sub_subdomain,Algorithm,Title,Description,Link
Combinatorial algorithms,General combinatorial algorithms,,,Cycle detection,Brent's algorithm,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Cycle_detection#Brent's_algorithm
Combinatorial algorithms,General combinatorial algorithms,,,Floyd's cycle-finding algorithm,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Floyd%27s_cycle-finding_algorithm
Combinatorial algorithms,General combinatorial algorithms,,,Stable marriage problem,Gale–Shapley algorithm,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Stable_marriage_problem
Combinatorial algorithms,General combinatorial algorithms,,,ACORN (PRNG),ACORN generator,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/ACORN_(PRNG)
Combinatorial algorithms,General combinatorial algorithms,,,Blum Blum Shub,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Blum_Blum_Shub
Combinatorial algorithms,General combinatorial algorithms,,,Lagged Fibonacci generator,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Lagged_Fibonacci_generator
Combinatorial algorithms,General combinatorial algorithms,,,Linear congruential generator,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Linear_congruential_generator
Combinatorial algorithms,General combinatorial algorithms,,,Mersenne Twister,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Mersenne_Twister
Combinatorial algorithms,Graph algorithms,,,Coloring algorithm,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Coloring_algorithm
Combinatorial algorithms,Graph algorithms,,,Hopcroft–Karp algorithm,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Hopcroft%E2%80%93Karp_algorithm
Combinatorial algorithms,Graph algorithms,,,Hungarian algorithm,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Hungarian_algorithm
Combinatorial algorithms,Graph algorithms,,,Prüfer sequence,Prüfer coding,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Pr%C3%BCfer_sequence
Combinatorial algorithms,Graph algorithms,,,Tarjan's off-line lowest common ancestors algorithm,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Tarjan%27s_off-line_lowest_common_ancestors_algorithm
Combinatorial algorithms,Graph algorithms,,,Topological sorting,Topological sort,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Topological_sorting
Combinatorial algorithms,Graph algorithms,Graph drawing,,Force-based algorithms (graph drawing),Force-based algorithms,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Force-based_algorithms_(graph_drawing)
Combinatorial algorithms,Graph algorithms,Graph drawing,,Spectral layout,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Spectral_layout
Combinatorial algorithms,Graph algorithms,Network theory,,Girvan–Newman algorithm,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Girvan%E2%80%93Newman_algorithm
Combinatorial algorithms,Graph algorithms,Network theory,,Hyperlink-Induced Topic Search,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Hyperlink-Induced_Topic_Search
Combinatorial algorithms,Graph algorithms,Network theory,,PageRank,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/PageRank
Combinatorial algorithms,Graph algorithms,Network theory,,TrustRank,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/TrustRank
Combinatorial algorithms,Graph algorithms,Network theory,,Dinic's algorithm,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Dinic%27s_algorithm
Combinatorial algorithms,Graph algorithms,Network theory,,Edmonds–Karp algorithm,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Edmonds%E2%80%93Karp_algorithm
Combinatorial algorithms,Graph algorithms,Network theory,,Ford–Fulkerson algorithm,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Ford%E2%80%93Fulkerson_algorithm
Combinatorial algorithms,Graph algorithms,Network theory,,Karger's algorithm,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Karger%27s_algorithm
Combinatorial algorithms,Graph algorithms,Network theory,,Push–relabel algorithm,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Push%E2%80%93relabel_algorithm
Combinatorial algorithms,Graph algorithms,Routing for graphs,,Edmonds' algorithm,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Edmonds%27_algorithm
Combinatorial algorithms,Graph algorithms,Routing for graphs,,Euclidean minimum spanning tree,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Euclidean_minimum_spanning_tree
Combinatorial algorithms,Graph algorithms,Routing for graphs,,Euclidean shortest path problem,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Euclidean_shortest_path_problem
Combinatorial algorithms,Graph algorithms,Routing for graphs,,Longest path problem,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Longest_path_problem
Combinatorial algorithms,Graph algorithms,Routing for graphs,,Borůvka's algorithm,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Bor%C5%AFvka%27s_algorithm
Combinatorial algorithms,Graph algorithms,Routing for graphs,,Kruskal's algorithm,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Kruskal%27s_algorithm
Combinatorial algorithms,Graph algorithms,Routing for graphs,,Prim's algorithm,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Prim%27s_algorithm
Combinatorial algorithms,Graph algorithms,Routing for graphs,,Reverse-delete algorithm,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Reverse-delete_algorithm
Combinatorial algorithms,Graph algorithms,Routing for graphs,,Nonblocking minimal spanning switch,,https://en.wikipedia.org/wiki/List_of_algorithms/wiki/Nonblocking_minimal_spanning_switch
